release_date,channel,version,dart_sdk_version,engine_commit,snapshot_hash
2023-03-22T17:48:52.278904Z,stable,3.7.8,2.19.5,9aa7816315095c86410527932918c718cb35e7d6,adb4292f3ec25074ca70abcd2d5c7251
2023-03-15T22:58:49.073713Z,beta,3.9.0-0.1.pre,3.0.0 (build 3.0.0-290.1.beta),dec409804a77c9fc71d894d8c818682c744c78b6,618084be871d017013dc342a8ecadba6
2023-03-08T20:53:23.713703Z,stable,3.7.7,2.19.4,1837b5be5f0f1376a1ccf383950e83a80177fb4e,adb4292f3ec25074ca70abcd2d5c7251
2023-03-01T21:08:18.329454Z,stable,3.7.6,2.19.3,ada363ee93b17cfe31587b5102679885cb40837e,adb4292f3ec25074ca70abcd2d5c7251
2023-02-23T04:34:22.630384Z,stable,3.7.5,2.19.2,0f359063c487ee70787e58b4b011cbb3c2f53fd6,adb4292f3ec25074ca70abcd2d5c7251
2023-02-21T21:31:04.792661Z,stable,3.7.4,2.19.2,248290d6d50a1bf1a6a246544347c03acda867a5,adb4292f3ec25074ca70abcd2d5c7251
2023-02-17T17:17:08.473454Z,beta,3.8.0-10.1.pre,3.0.0 (build 3.0.0-218.1.beta),639e313f998a27ae82a876e1c6c1374afae6f843,8860f13fdeacf945548b94e3293739dc
2023-02-09T17:02:14.171562Z,stable,3.7.3,2.19.2,248290d6d50a1bf1a6a246544347c03acda867a5,adb4292f3ec25074ca70abcd2d5c7251
2023-02-08T18:07:14.532725Z,stable,3.7.2,2.19.2,f40b73f8a4d5bc2bf50b21e3c0fb478b8f282486,adb4292f3ec25074ca70abcd2d5c7251
2023-02-01T21:25:02.828380Z,stable,3.7.1,2.19.1,800594f1f4a6674010a6f1603c07a919b4d7ebd7,adb4292f3ec25074ca70abcd2d5c7251
2023-01-24T18:52:29.276391Z,stable,3.7.0,2.19.0,b24591ed328a2d4ce6505819e2f5898a78132f7f,501ef5cbd64ca70b6b42672346af6a8a
2023-01-23T23:08:11.348935Z,beta,3.7.0-1.5.pre,2.19.0 (build 2.19.0-444.6.beta),45c5586f2a9583d9511b742703529a92bf8f9db5,501ef5cbd64ca70b6b42672346af6a8a
